,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,credit_losses_provision,da_income_statement_supplemental,eps_basic,eps_diluted,income_allocated_to_minority_interest,income_tax,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income,net_interest_income_after_credit_losses_provision,preferred_dividends,pretax_income,revenue,shares_basic,shares_diluted,special_charges,total_interest_expense,total_interest_income,total_noninterest_expense,total_noninterest_revenue,total_opex,fiscal_year_key,fiscal_year_number
0,1.36,2002-03-22,2001-12,36.53,1973383000,24564000000,3185000000,2891000000,0.83,0.8,0,-847000000,1694000000,1628000000,1719000000,0,10802000000,7617000000,66000000,2566000000,29050000000,1972400000,2023600000,2523000000,21379000000,32181000000,20776000000,18248000000,42155000000,FY2001,2001
1,1.36,2003-03-19,2002-12,24.0,1998707000,18089000000,4331000000,3426000000,0.81,0.8,0,-856000000,1663000000,1612000000,1663000000,0,12178000000,7847000000,51000000,2519000000,29614000000,1990123000,2015000000,2510000000,13758000000,25936000000,20254000000,17436000000,34012000000,FY2002,2002
2,1.36,2004-02-18,2003-12,36.73,2042620000,12647000000,1540000000,3101000000,3.32,3.24,0,-3309000000,6719000000,6668000000,6719000000,0,12337000000,10797000000,51000000,10028000000,33256000000,2009000000,2055000000,100000000,11107000000,23444000000,21588000000,20919000000,32695000000,FY2003,2003
3,1.36,2005-03-02,2004-12,39.01,3556191000,16477000000,2544000000,3835000000,1.59,1.55,0,-1596000000,4466000000,4414000000,4260000000,206000000,16527000000,13983000000,52000000,5856000000,42372000000,2780000000,2851000000,1365000000,13933000000,30460000000,32607000000,25845000000,46540000000,FY2004,2004
4,1.36,2006-03-09,2005-12,39.69,3486689000,29003000000,3483000000,4318000000,2.43,2.38,0,-3585000000,8483000000,8470000000,8254000000,229000000,19555000000,16072000000,13000000,11839000000,54248000000,3492000000,3557000000,722000000,25520000000,45075000000,38204000000,34693000000,63724000000,FY2005,2005
5,1.36,2007-03-01,2006-12,48.3,3461684000,41135000000,3270000000,3577000000,4.16,4.04,0,-6237000000,14444000000,14440000000,13649000000,795000000,21242000000,17972000000,4000000,19886000000,61999000000,3470000000,3574000000,305000000,37865000000,59107000000,38538000000,40757000000,76403000000,FY2006,2006
6,1.48,2008-02-29,2007-12,43.65,3367383000,51845000000,6864000000,3821000000,4.38,4.33,0,-7440000000,15365000000,15365000000,15365000000,0,26406000000,19542000000,0,22805000000,71372000000,3403600000,3445300000,209000000,44981000000,71387000000,41494000000,44966000000,86475000000,FY2007,2007
7,1.52,2009-03-02,2008-12,31.53,3757923000,55218000000,20979000000,4528000000,1.35,1.35,0,926000000,5605000000,4931000000,3699000000,1906000000,38779000000,17800000000,674000000,2773000000,67252000000,3501000000,3522000000,1213000000,34239000000,73018000000,42287000000,28473000000,76526000000,FY2008,2008
8,0.2,2010-02-24,2009-12,41.67,3941959000,47213000000,32015000000,4358000000,2.27,2.26,0,-4415000000,11728000000,10401000000,11652000000,76000000,51152000000,19137000000,1327000000,16067000000,100434000000,3862800000,3879700000,642000000,15198000000,66350000000,51710000000,49282000000,66908000000,FY2009,2009
9,0.2,2011-02-28,2010-12,42.42,3910294000,29420000000,16639000000,4965000000,3.98,3.96,0,-7489000000,17370000000,16728000000,17370000000,0,51001000000,34362000000,642000000,24859000000,102694000000,3956300000,3976900000,7400000000,12781000000,63782000000,53796000000,51693000000,66577000000,FY2010,2010
10,1.0,2012-02-29,2011-12,33.25,3772691000,21178000000,7574000000,5105000000,4.5,4.48,0,-7773000000,18976000000,18347000000,18976000000,0,47689000000,40115000000,629000000,26749000000,97234000000,3900400000,3920300000,3200000000,13604000000,61293000000,59711000000,49545000000,73315000000,FY2011,2011
11,1.2,2013-02-28,2012-12,43.97,3803952000,14428000000,3385000000,5147000000,5.22,5.2,0,-7633000000,21284000000,20631000000,21284000000,0,44910000000,41525000000,653000000,28917000000,97031000000,3809400000,3822200000,5000000000,11043000000,55953000000,59729000000,52121000000,70772000000,FY2012,2012
12,1.44,2014-02-20,2013-12,58.48,3756108000,9575000000,225000000,5306000000,4.38,4.34,0,-8789000000,17886000000,17081000000,17886000000,0,43319000000,43094000000,805000000,26675000000,97367000000,3782400000,3814900000,10200000000,9350000000,52669000000,60267000000,54048000000,69617000000,FY2013,2013
13,1.58,2015-02-24,2014-12,62.58,3714789000,11036000000,3139000000,4759000000,5.33,5.29,0,-8954000000,21745000000,20620000000,21745000000,0,43634000000,40495000000,1125000000,30699000000,95112000000,3763500000,3797500000,0,7897000000,51531000000,61274000000,51478000000,69171000000,FY2014,2014
14,1.72,2016-02-23,2015-12,66.03,3663475000,11290000000,3827000000,4940000000,6.05,6.0,0,-6260000000,24442000000,22927000000,24442000000,0,43510000000,39683000000,1515000000,30702000000,93543000000,3741200000,3773600000,-514000000,7463000000,50973000000,59528000000,50033000000,66991000000,FY2015,2015
15,1.88,2017-02-28,2016-12,86.29,3561190000,15179000000,5361000000,5478000000,6.24,6.19,0,-9803000000,24733000000,23086000000,24733000000,0,46083000000,40722000000,1647000000,34536000000,96569000000,3658800000,3690000000,0,9818000000,55901000000,56672000000,50486000000,66490000000,FY2016,2016
16,2.12,2018-02-27,2017-12,106.94,3425299000,19164000000,5290000000,6179000000,6.35,6.31,0,-11459000000,24441000000,22778000000,24441000000,0,50097000000,44807000000,1663000000,35900000000,100705000000,3551600000,3576800000,-645000000,13874000000,63971000000,60160000000,50608000000,74034000000,FY2017,2017
17,2.72,2019-02-26,2018-12,97.62,3275766000,25912000000,4871000000,7791000000,9.04,9.0,0,-8290000000,32474000000,30923000000,32474000000,0,55059000000,50188000000,1551000000,40764000000,108783000000,3396400000,3414000000,0,21041000000,76100000000,63148000000,53724000000,84189000000,FY2018,2018
18,3.4,2020-02-25,2019-12,139.4,3084021000,32380000000,5585000000,8368000000,10.75,10.72,0,-8435000000,36431000000,34844000000,36431000000,0,57245000000,51660000000,1587000000,44866000000,115720000000,3221500000,3230400000,239000000,26795000000,84040000000,65030000000,58475000000,91825000000,FY2019,2019
19,3.6,2021-02-23,2020-12,127.07,3049434000,27372000000,17412000000,8614000000,8.89,8.88,0,-6684000000,29131000000,27548000000,29131000000,0,54563000000,37151000000,1583000000,35815000000,119883000000,3082400000,3087400000,1115000000,9960000000,64523000000,65541000000,65320000000,75501000000,FY2020,2020
20,3.8,2022-02-22,2021-12,158.35,2944149000,-3667000000,-9220000000,7932000000,15.39,15.36,0,-11228000000,48334000000,46734000000,48334000000,0,52311000000,61531000000,1600000000,59562000000,121685000000,3021500000,3026600000,426000000,5553000000,57864000000,70917000000,69374000000,76470000000,FY2021,2021
21,4.0,2023-02-21,2022-12,134.1,2934258000,32432000000,6335000000,7051000000,12.1,12.09,0,-8490000000,37676000000,36081000000,37676000000,0,66710000000,60375000000,1595000000,46166000000,127727000000,2965800000,2970000000,-648000000,26097000000,92807000000,75874000000,61017000000,101971000000,FY2022,2022
22,4.1,2024-02-16,2023-12,170.1,2876659000,90603000000,9282000000,7512000000,16.25,16.23,0,-12060000000,49552000000,48051000000,49552000000,0,89267000000,79985000000,1501000000,61612000000,154952000000,2938600000,2943100000,2282000000,81321000000,170588000000,81776000000,65685000000,163097000000,FY2023,2023
23,4.8,2025-02-14,2024-12,239.71,2797620000,112004000000,10654000000,7938000000,19.79,19.75,0,-16610000000,58471000000,57212000000,58471000000,0,92583000000,81929000000,1259000000,75081000000,169439000000,2873900000,2879000000,-5851000000,101350000000,193933000000,89555000000,76856000000,190905000000,FY2024,2024
