,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.008,2002-05-14,2002-03,19.11,1221224000,FY2002.FQ1,1
1,0.0,2002-08-13,2002-06,22.89,1209596000,FY2002.FQ2,2
2,0.0,2002-11-14,2002-09,21.81,1208964000,FY2002.FQ3,3
3,0.0,2003-03-19,2002-12,20.88,1197832000,FY2002.FQ4,4
4,0.008,2003-05-15,2003-03,22.92,1185316000,FY2003.FQ1,1
5,0.0,2003-08-13,2003-06,25.13,1180000000,FY2003.FQ2,2
6,0.0,2003-11-14,2003-09,25.16,1168000000,FY2003.FQ3,3
7,0.0,2004-03-15,2003-12,29.09,1166000000,FY2003.FQ4,4
8,0.015,2004-05-07,2004-03,32.25,1228000000,FY2004.FQ1,1
9,0.0,2004-08-09,2004-06,31.13,1214000000,FY2004.FQ2,2
10,0.0,2004-11-09,2004-09,36.87,1308000000,FY2004.FQ3,3
11,0.0,2005-03-01,2004-12,44.02,1286000000,FY2004.FQ4,4
12,0.015,2005-05-05,2005-03,47.69,1268000000,FY2005.FQ1,1
13,0.0,2005-08-08,2005-06,52.14,1255000000,FY2005.FQ2,2
14,0.0,2005-11-04,2005-09,56.2,1256000000,FY2005.FQ3,3
15,0.0,2006-02-24,2005-12,62.14,1358000000,FY2005.FQ4,4
16,0.03,2006-05-10,2006-03,55.86,1343000000,FY2006.FQ1,1
17,0.0,2007-03-06,2006-06,44.78,1338000000,FY2006.FQ2,2
18,0.0,2007-03-06,2006-09,49.2,1343000000,FY2006.FQ3,3
19,0.0,2007-03-06,2006-12,53.73,1345000000,FY2006.FQ4,4
20,0.03,2007-05-09,2007-03,52.97,1340049000,FY2007.FQ1,1
21,0.0,2007-08-06,2007-06,51.14,1324879000,FY2007.FQ2,2
22,0.0,2007-11-01,2007-09,48.43,1292162000,FY2007.FQ3,3
23,0.0,2008-02-21,2007-12,58.2,1253000000,FY2007.FQ4,4
24,0.03,2008-05-02,2008-03,34.36,1225000000,FY2008.FQ1,1
25,0.0,2008-08-07,2008-06,26.25,1210000000,FY2008.FQ2,2
26,0.0,2008-11-07,2008-09,25.39,1198000000,FY2008.FQ3,3
27,0.0,2009-02-11,2008-12,26.6,1215616000,FY2008.FQ4,4
28,0.03,2009-05-07,2009-03,20.93,1189511000,FY2009.FQ1,1
29,0.0,2009-08-06,2009-06,24.98,1151000000,FY2009.FQ2,2
30,0.0,2009-11-03,2009-09,25.04,1153000000,FY2009.FQ3,3
31,0.0,2010-02-10,2009-12,30.48,1147000000,FY2009.FQ4,4
32,0.03,2010-05-05,2010-03,32.67,1133000000,FY2010.FQ1,1
33,0.125,2010-08-05,2010-06,28.4,1115000000,FY2010.FQ2,2
34,0.125,2010-11-03,2010-09,35.11,1099000000,FY2010.FQ3,3
35,0.125,2011-02-10,2010-12,36.11,1086000000,FY2010.FQ4,4
36,0.125,2011-05-03,2011-03,45.2,1077000000,FY2011.FQ1,1
37,0.163,2011-08-02,2011-06,51.58,1069000000,FY2011.FQ2,2
38,0.163,2011-11-04,2011-09,46.12,1054000000,FY2011.FQ3,3
39,0.163,2012-02-09,2011-12,50.68,1039000000,FY2011.FQ4,4
40,0.163,2012-05-03,2012-03,58.94,1033000000,FY2012.FQ1,1
41,0.213,2012-08-07,2012-06,58.5,1024000000,FY2012.FQ2,2
42,0.213,2012-10-30,2012-09,55.41,1012000000,FY2012.FQ3,3
43,0.213,2013-02-07,2012-12,54.24,1019000000,FY2012.FQ4,4
44,0.213,2013-05-06,2013-03,57.21,1013000000,FY2013.FQ1,1
45,0.28,2013-08-05,2013-06,65.48,1006000000,FY2013.FQ2,2
46,0.28,2013-11-07,2013-09,71.61,998000000,FY2013.FQ3,3
47,0.28,2014-02-12,2013-12,75.3,988000000,FY2013.FQ4,4
48,0.28,2014-05-06,2014-03,81.99,984000000,FY2014.FQ1,1
49,0.375,2014-08-04,2014-06,81.75,973000000,FY2014.FQ2,2
50,0.375,2014-11-10,2014-09,86.25,962000000,FY2014.FQ3,3
51,0.375,2015-02-10,2014-12,101.09,954000000,FY2014.FQ4,4
52,0.375,2015-05-06,2015-03,118.29,952000000,FY2015.FQ1,1
53,0.5,2015-07-29,2015-06,122.0,952000000,FY2015.FQ2,2
54,0.5,2015-11-05,2015-09,116.01,953000000,FY2015.FQ3,3
55,0.5,2016-02-09,2015-12,117.64,953000000,FY2015.FQ4,4
56,0.5,2016-05-04,2016-03,128.9,954000000,FY2016.FQ1,1
57,0.625,2016-08-02,2016-06,141.2,951000000,FY2016.FQ2,2
58,0.625,2016-11-08,2016-09,140.0,952000000,FY2016.FQ3,3
59,0.625,2017-02-08,2016-12,160.04,952000000,FY2016.FQ4,4
60,0.625,2017-05-08,2017-03,164.01,965000000,FY2017.FQ1,1
61,0.75,2017-08-04,2017-06,185.42,965000000,FY2017.FQ2,2
62,0.75,2017-11-07,2017-09,195.85,969000000,FY2017.FQ3,3
63,0.75,2018-02-13,2017-12,220.46,969000000,FY2017.FQ4,4
64,0.75,2018-05-07,2018-03,214.0,962000000,FY2018.FQ1,1
65,0.9,2018-08-07,2018-06,245.34,962000000,FY2018.FQ2,2
66,0.9,2018-11-08,2018-09,266.04,962000000,FY2018.FQ3,3
67,0.9,2019-02-12,2018-12,249.12,960000000,FY2018.FQ4,4
68,0.9,2019-05-07,2019-03,247.26,953000000,FY2019.FQ1,1
69,1.08,2019-08-07,2019-06,244.01,948000000,FY2019.FQ2,2
70,1.08,2019-11-06,2019-09,217.32,947000000,FY2019.FQ3,3
71,1.08,2020-02-14,2019-12,293.98,948000000,FY2019.FQ4,4
72,1.08,2020-05-06,2020-03,249.38,947000000,FY2020.FQ1,1
73,1.25,2020-08-03,2020-06,294.95,950000000,FY2020.FQ2,2
74,1.25,2020-11-02,2020-09,311.77,949000000,FY2020.FQ3,3
75,1.25,2021-03-01,2020-12,350.68,946000000,FY2020.FQ4,4
76,1.25,2021-05-05,2021-03,372.07,944000000,FY2021.FQ1,1
77,1.45,2021-08-03,2021-06,400.44,943000000,FY2021.FQ2,2
78,1.45,2021-11-03,2021-09,390.74,942000000,FY2021.FQ3,3
79,1.45,2022-02-15,2021-12,502.14,941000000,FY2021.FQ4,4
80,1.45,2022-05-04,2022-03,509.97,939000000,FY2022.FQ1,1
81,1.65,2022-08-03,2022-06,513.63,935000000,FY2022.FQ2,2
82,1.65,2022-11-02,2022-09,505.04,935000000,FY2022.FQ3,3
83,1.65,2023-02-24,2022-12,530.18,934000000,FY2022.FQ4,4
84,1.65,2023-05-03,2023-03,472.59,932000000,FY2023.FQ1,1
85,1.88,2023-08-02,2023-06,480.64,927000000,FY2023.FQ2,2
86,1.88,2023-11-06,2023-09,504.19,925000000,FY2023.FQ3,3
87,1.88,2024-02-28,2023-12,526.47,924000000,FY2023.FQ4,4
88,1.88,2024-05-09,2024-03,494.7,920000000,FY2024.FQ1,1
89,2.1,2024-08-09,2024-06,509.26,921000000,FY2024.FQ2,2
90,2.1,2024-11-04,2024-09,584.68,923000000,FY2024.FQ3,3
91,2.1,2025-02-27,2024-12,505.86,915000000,FY2024.FQ4,4
92,2.1,2025-05-07,2025-03,523.75,910000000,FY2025.FQ1,1
